date,realtime_end,realtime_start,PPIACO
1967-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.4
1967-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.3
1967-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.1
1967-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.3
1967-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.5
1967-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.5
1967-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.4
1967-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.4
1967-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.4
1967-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.4
1967-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.7
1968-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,33.8
1968-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.0
1968-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.1
1968-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.1
1968-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.2
1968-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.2
1968-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.3
1968-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.2
1968-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.4
1968-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.4
1968-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.5
1968-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.6
1969-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,34.8
1969-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.0
1969-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.2
1969-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.3
1969-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.5
1969-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.7
1969-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.8
1969-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.7
1969-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.8
1969-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,35.9
1969-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.1
1969-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.3
1970-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.5
1970-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.7
1970-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.7
1970-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.8
1970-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.8
1970-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.9
1970-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.1
1970-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,36.9
1970-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.1
1970-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.1
1970-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.1
1970-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.1
1971-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.3
1971-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.7
1971-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.8
1971-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,37.9
1971-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.1
1971-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.2
1971-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.3
1971-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.5
1971-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.3
1971-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.3
1971-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.3
1971-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.6
1972-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,38.8
1972-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,39.2
1972-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,39.2
1972-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,39.3
1972-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,39.5
1972-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,39.7
1972-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,40.0
1972-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,40.1
1972-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,40.2
1972-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,40.1
1972-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,40.3
1972-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,41.1
1973-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,41.6
1973-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,42.4
1973-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,43.4
1973-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,43.6
1973-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,44.5
1973-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,45.5
1973-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,44.9
1973-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,47.5
1973-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,46.7
1973-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,46.3
1973-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,46.5
1973-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,47.4
1974-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,49.0
1974-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,50.0
1974-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,50.6
1974-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,51.0
1974-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,51.8
1974-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,52.0
1974-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,54.0
1974-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,55.9
1974-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,55.9
1974-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,56.9
1974-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.4
1974-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.3
1975-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.4
1975-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.2
1975-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,56.9
1975-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.5
1975-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,57.9
1975-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,58.0
1975-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,58.7
1975-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.0
1975-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.4
1975-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.8
1975-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.5
1975-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.7
1976-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.9
1976-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,59.9
1976-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,60.0
1976-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,60.6
1976-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,60.8
1976-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,61.2
1976-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,61.6
1976-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,61.4
1976-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,61.8
1976-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,61.9
1976-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,62.0
1976-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,62.5
1977-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,62.8
1977-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,63.5
1977-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,64.1
1977-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,64.9
1977-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.2
1977-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.0
1977-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.1
1977-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.0
1977-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.3
1977-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.6
1977-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,65.8
1977-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,66.2
1978-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,66.8
1978-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,67.5
1978-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,68.1
1978-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,69.0
1978-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,69.5
1978-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,70.0
1978-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,70.4
1978-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,70.4
1978-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,71.0
1978-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,71.8
1978-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,72.1
1978-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,72.7
1979-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,73.8
1979-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,74.9
1979-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,75.8
1979-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,76.9
1979-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,77.5
1979-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,78.0
1979-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,79.2
1979-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,79.6
1979-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,80.9
1979-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,82.1
1979-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,82.6
1979-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,83.4
1980-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,85.2
1980-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,86.9
1980-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,87.5
1980-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,87.8
1980-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,88.3
1980-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,88.7
1980-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,90.3
1980-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,91.5
1980-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,91.7
1980-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,92.8
1980-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,93.2
1980-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,93.8
1981-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,95.2
1981-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,96.1
1981-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,97.0
1981-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.0
1981-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.3
1981-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.5
1981-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.0
1981-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.0
1981-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1981-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.9
1981-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1981-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1982-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
1982-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.8
1982-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.6
1982-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.6
1982-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.8
1982-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.0
1982-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.4
1982-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.3
1982-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.0
1982-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.2
1982-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.3
1982-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.5
1983-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.2
1983-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.5
1983-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.4
1983-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.4
1983-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.8
1983-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.0
1983-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.3
1983-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.8
1983-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.0
1983-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.2
1983-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.1
1983-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.3
1984-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.9
1984-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.2
1984-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.9
1984-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.0
1984-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.1
1984-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.0
1984-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.2
1984-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.8
1984-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.4
1984-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.4
1984-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.7
1984-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.5
1985-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.4
1985-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.3
1985-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.1
1985-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.3
1985-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.5
1985-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.3
1985-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.2
1985-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.7
1985-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.1
1985-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.9
1985-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.4
1985-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.6
1986-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.2
1986-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.7
1986-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.3
1986-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.6
1986-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.0
1986-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.9
1986-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.4
1986-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.3
1986-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.4
1986-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
1986-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.8
1986-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
1987-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,100.5
1987-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.0
1987-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.2
1987-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,101.9
1987-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,102.6
1987-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.0
1987-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.5
1987-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.8
1987-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,103.7
1987-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.1
1987-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.2
1987-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.2
1988-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.6
1988-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.8
1988-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,104.9
1988-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,105.8
1988-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,106.5
1988-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,107.2
1988-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,107.9
1988-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.0
1988-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.1
1988-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.2
1988-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,108.3
1988-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,109.0
1989-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,110.5
1989-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,110.8
1989-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,111.5
1989-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.3
1989-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,113.2
1989-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.9
1989-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.8
1989-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.0
1989-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.4
1989-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.8
1989-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,112.7
1989-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,113.0
1990-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.9
1990-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.4
1990-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.2
1990-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.1
1990-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.6
1990-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.3
1990-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,114.5
1990-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.5
1990-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.4
1990-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.8
1990-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,120.1
1990-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1991-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.0
1991-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.2
1991-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.2
1991-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.0
1991-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.5
1991-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1991-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.2
1991-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1991-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.4
1991-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,115.9
1992-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,115.6
1992-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.0
1992-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.1
1992-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,116.3
1992-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.2
1992-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1992-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.9
1992-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.7
1992-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1992-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.1
1992-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.8
1992-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,117.6
1993-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.0
1993-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.4
1993-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.3
1993-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.7
1993-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.5
1993-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.2
1993-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.7
1993-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.1
1993-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.0
1993-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,118.6
1994-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.1
1994-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,119.3
