RRS,date,realtime_end,realtime_start
102451.04231906371,1980-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
100092.32020083624,1980-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99172.10125785063,1980-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99561.34329350432,1980-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101519.18842392541,1980-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101788.90776928327,1980-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101265.33492241213,1980-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
102646.72105981351,1980-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
102399.21389583808,1980-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101574.19001591996,1980-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
103013.75091408478,1981-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
103406.16611850738,1981-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
103330.0100680534,1981-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
102087.18563356136,1981-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
100659.25968754922,1981-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
100683.58731477757,1981-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
100358.86637742518,1981-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101176.4861968825,1981-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99783.46510732843,1981-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
98118.60922657057,1981-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97545.32340231977,1981-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97650.037971694,1981-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
96285.57540106017,1982-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
98516.31304560803,1982-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97620.42172985077,1982-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97761.09887860605,1982-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97908.12236489914,1982-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
95251.1223823936,1982-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
96441.06067073705,1982-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
95773.63750634174,1982-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97078.86759328913,1982-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
97806.58096429384,1982-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99424.89703644093,1982-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99747.50252794738,1982-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
98880.16973111038,1983-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
99052.57856755481,1983-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101587.9404139186,1983-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
101146.86995503928,1983-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
102426.71469183535,1983-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
104578.12311716031,1983-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
104769.57096621823,1983-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
102900.57456132678,1983-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
104551.68004408601,1983-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
105751.1378387362,1983-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
106809.91848463114,1983-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
107164.25566382674,1983-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108843.91966550621,1984-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108186.01600741765,1984-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
107111.36951767815,1984-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108676.79944367665,1984-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
109174.98694039643,1984-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
110523.58366718568,1984-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108367.94435016882,1984-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
107458.30263641295,1984-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108670.45310613881,1984-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
108781.51401305087,1984-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
110647.33724917339,1984-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
109971.45230139431,1984-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
110591.27793425588,1985-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
111146.58246881615,1985-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
111188.89138573504,1985-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
112414.79225345953,1985-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
112908.74885848744,1985-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
111966.31773411942,1985-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
111953.62505904376,1985-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
113348.76159444377,1985-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
116328.36706845577,1985-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
112537.48811252428,1985-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
112561.81573975264,1985-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
113449.2452721261,1985-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
114131.47655744302,1986-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
113273.66326691276,1986-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
113106.54304508319,1986-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
114246.76835604696,1986-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
115586.90329945243,1986-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
115286.50998932839,1986-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
115574.21062437676,1986-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
116649.91483703925,1986-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
123054.42713563444,1986-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
117690.71419324365,1986-10-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
116932.32685747276,1986-11-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
121772.46695299243,1986-12-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
113198.56493938176,1987-01-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
118414.19667255647,1987-02-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
118792.86147898043,1987-03-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
119234.98966078271,1987-04-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
118896.51832543168,1987-05-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120009.24284039818,1987-06-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120483.10270988962,1987-07-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
122196.61384510419,1987-08-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
120165.78583299804,1987-09-01 00:00:00,2018-06-11 00:00:00,2012-04-30 00:00:00
